abadzekhskaya	Abadzekhskaya
rasskazovo	Rasskazovo
rassvet	Rassvet
raychikhinsk	Raychikhinsk
rayevskaya	Rayevskaya
rayevskiy	Rayevskiy
razdolinsk	Razdolinsk
razdol’noye	Razdol’noye
razliv	Razliv
razumnoye	Razumnoye
razvilka	Razvilka
rebrikha	Rebrikha
rechitsy	Rechitsy
rechka-vydrino	Rechka-Vydrino
redkino	Redkino
reftinskiy	Reftinskiy
remontnoye	Remontnoye
repino	Repino
repnoye	Repnoye
rep’yevka	Rep’yëvka
reshetikha	Reshetikha
reshetnikovo	Reshetnikovo
rettikhovka	Rettikhovka
reutov	Reutov
revda	Revda
revyakino	Revyakino
rezh	Rezh
rochegda	Rochegda
rodino	Rodino
rodionovo-nesvetaiskoye	Rodionovo-Nesvetaiskoye
rodionovo-nesvetayskaya	Rodionovo-Nesvetayskaya
rodniki	Rodniki
rodnikovskaya	Rodnikovskaya
rogachevo	Rogachëvo
rognedino	Rognedino
rogovatoye	Rogovatoye
rogovskaya	Rogovskaya
romanovka	Romanovka
romanovo	Romanovo
romanovskaya	Romanovskaya
romashki	Romashki
romny	Romny
romodanovo	Romodanovo
roschinskiy	Roschinskiy
roshal’	Roshal’
roshchino	Roshchino
roshni-chu	Roshni-Chu
roslavl’	Roslavl’
roslyakovo	Roslyakovo
rossosh’	Rossosh’
rostokino	Rostokino
rostov veliky	Rostov Veliky
rostov-on-don	Rostov-on-Don
rostovka	Rostovka
roven’ki	Roven’ki
rovnoye	Rovnoye
roza	Roza
rozhdestveno	Rozhdestveno
rozhdestvenskiy	Rozhdestvenskiy
rtishchevo	Rtishchevo
rublevo	Rublëvo
rubtsovsk	Rubtsovsk
rudnaya pristan’	Rudnaya Pristan’
rudnichnyy	Rudnichnyy
rudnogorsk	Rudnogorsk
rudnya	Rudnya
rudnyy	Rudnyy
rumyantsevo	Rumyantsevo
ruskeala	Ruskeala
russkaya polyana	Russkaya Polyana
russkinskiye	Russkinskiye
russkiy	Russkiy
russkiy aktash	Russkiy Aktash
russkiy kameshkir	Russkiy Kameshkir
russkiy kukmor	Russkiy Kukmor
russko-vysotskoye	Russko-Vysotskoye
rutul	Rutul
ruza	Ruza
ruzayevka	Ruzayevka
ryabovo	Ryabovo
ryazanskaya	Ryazanskaya
ryazanskiy	Ryazanskiy
ryazan’	Ryazan’
ryazhsk	Ryazhsk
rybatskoye	Rybatskoye
rybinsk	Rybinsk
rybnaya sloboda	Rybnaya Sloboda
rybnoye	Rybnoye
ryl’sk	Ryl’sk
ryzdvyanyy	Ryzdvyanyy
rzhaksa	Rzhaksa
rzhanitsa	Rzhanitsa
rzhavki	Rzhavki
rzhev	Rzhev
sabnova	Sabnova
sachkovichi	Sachkovichi
sadovoye	Sadovoye
sadovyy	Sadovyy
safakulevo	Safakulevo
safonovo	Safonovo
sagan-nur	Sagan-Nur
sagopshi	Sagopshi
saint petersburg	Saint Petersburg
sakharovo	Sakharovo
sakmara	Sakmara
salair	Salair
salavat	Salavat
salekhard	Salekhard
salmi	Salmi
saltykovka	Saltykovka
salym	Salym
sal’sk	Sal’sk
samagaltay	Samagaltay
samara	Samara
samarskoye	Samarskoye
samashki	Samashki
sambek	Sambek
samoded	Samoded
samoylovka	Samoylovka
sampsonievskiy	Sampsonievskiy
samur	Samur
samus’	Samus’
sanchursk	Sanchursk
sandata	Sandata
sandovo	Sandovo
sangar	Sangar
sannikovo	Sannikovo
sapernoye	Sapernoye
sapernyy	Sapërnyy
sapozhok	Sapozhok
saraktash	Saraktash
sarana	Sarana
saranpaul’	Saranpaul’
saransk	Saransk
sarany	Sarany
sarapul	Sarapul
saratov	Saratov
saratovskaya	Saratovskaya
sarayi	Sarayi
sargatskoye	Sargatskoye
sargazy	Sargazy
sarmakovo	Sarmakovo
sarmanovo	Sarmanovo
sarov	Sarov
sars	Sars
sary-tyuz	Sary-Tyuz
saryg-sep	Saryg-Sep
saskylakh	Saskylakh
sasovo	Sasovo
sasykoli	Sasykoli
satinka	Satinka
satis	Satis
satka	Satka
savasleyka	Savasleyka
savinka	Savinka
savino	Savino
savinskaya	Savinskaya
savinskiy	Savinskiy
savvinskaya sloboda	Savvinskaya Sloboda
sayanogorsk	Sayanogorsk
sayansk	Sayansk
sazonovo	Sazonovo
sebezh	Sebezh
sebrovo	Sebrovo
sechenovo	Sechenovo
sedel’nikovo	Sedel’nikovo
sedkyrkeshch	Sedkyrkeshch
segezha	Segezha
selenduma	Selenduma
selenginsk	Selenginsk
selezni	Selezni
selezyan	Selezyan
selikhino	Selikhino
selishche	Selishche
selizharovo	Selizharovo
selty	Selty
selyatino	Selyatino
sel’tso	Sel’tso
semender	Semender
semenov	Semënov
semenovka	Semenovka
semenovskoye	Semënovskoye
semibratovo	Semibratovo
semigorskiy	Semigorskiy
semikarakorsk	Semikarakorsk
semiletka	Semiletka
semiluki	Semiluki
semiozerje	Semiozerje
semkhoz	Semkhoz
sengiley	Sengiley
sennoy	Sennoy
serafimovich	Serafimovich
serafimovskiy	Serafimovskiy
serdobsk	Serdobsk
serebryanyy bor	Serebryanyy Bor
serebryanyye prudy	Serebryanyye Prudy
seredeyskiy	Seredeyskiy
seredka	Serëdka
sergach	Sergach
sergeyevka	Sergeyevka
sergiyev posad	Sergiyev Posad
sergiyevsk	Sergiyevsk
sergokala	Sergokala
sernovodsk	Sernovodsk
sernur	Sernur
serov	Serov
serpukhov	Serpukhov
sertolovo	Sertolovo
seryshevo	Seryshevo
serzhen’-yurt	Serzhen’-Yurt
seshcha	Seshcha
sestroretsk	Sestroretsk
setun’	Setun’
severka	Severka
severnoye	Severnoye
severnyy	Severnyy
severnyy-kospashskiy	Severnyy-Kospashskiy
severo-yeniseyskiy	Severo-Yeniseyskiy
severo-zadonsk	Severo-Zadonsk
severobaykal’sk	Severobaykal’sk
severodvinsk	Severodvinsk
severomorsk	Severomorsk
severomorsk-3	Severomorsk-3
severomuysk	Severomuysk
severoural’sk	Severoural’sk
seversk	Seversk
severskaya	Severskaya
sevsk	Sevsk
seymchan	Seymchan
shaami-yurt	Shaami-Yurt
shabel’skoye	Shabel’skoye
shablykino	Shablykino
shabrovskiy	Shabrovskiy
shaburnovo	Shaburnovo
shadrinsk	Shadrinsk
shafranovo	Shafranovo
shagonar	Shagonar
shakhi	Shakhi
shakhovskaya	Shakhovskaya
shakhta	Shakhta
shakhtersk	Shakhtërsk
shakhty	Shakhty
shakhun’ya	Shakhun’ya
shalakusha	Shalakusha
shalazhi	Shalazhi
shali	Shali
shalinskoye	Shalinskoye
shalushka	Shalushka
shalya	Shalya
shal’skiy	Shal’skiy
shamanka	Shamanka
shamary	Shamary
shamil’kala	Shamil’kala
shamkhal	Shamkhal
shamkhal-termen	Shamkhal-Termen
shangaly	Shangaly
sharalday	Sharalday
sharan	Sharan
sharanga	Sharanga
sharkan	Sharkan
sharlyk	Sharlyk
sharypovo	Sharypovo
shar’ya	Shar’ya
shatalovo	Shatalovo
shatki	Shatki
shatoy	Shatoy
shatrovo	Shatrovo
shatsk	Shatsk
shatura	Shatura
shaturtorf	Shaturtorf
shcheglovo	Shcheglovo
shchekino	Shchëkino
shchelkun	Shchelkun
shcherbinka	Shcherbinka
shchigry	Shchigry
shchuch’ye	Shchuch’ye
shchukino	Shchukino
shchyolkovo	Shchyolkovo
shebalino	Shebalino
shebekino	Shebekino
sheberta	Sheberta
shebunino	Shebunino
shedok	Shedok
sheksna	Sheksna
shelabolikha	Shelabolikha
shelekhov	Shelekhov
shelkovskaya	Shelkovskaya
shelopugino	Shelopugino
sheltozero	Sheltozero
shemetovo	Shemëtovo
shemordan	Shemordan
shemursha	Shemursha
shemysheyka	Shemysheyka
shenkursk	Shenkursk
shentala	Shentala
shepsi	Shepsi
sheragul	Sheragul
sherbakul’	Sherbakul’
sheregesh	Sheregesh
sheremet’yevskiy	Sheremet’yevskiy
sherkaly	Sherkaly
sherlovaya gora	Sherlovaya Gora
shestakovo	Shestakovo
shevlyakovo	Shevlyakovo
shigony	Shigony
shikhany	Shikhany
shikhazany	Shikhazany
shikotan	Shikotan
shilka	Shilka
shilovo	Shilovo
shil’da	Shil’da
shimanovsk	Shimanovsk
shimorskoye	Shimorskoye
shimsk	Shimsk
shipitsyno	Shipitsyno
shipunovo	Shipunovo
shira	Shira
shiringushi	Shiringushi
shirochanka	Shirochanka
shirokaya rechka	Shirokaya Rechka
shirokiy	Shirokiy
shirokovskiy	Shirokovskiy
shishkin les	Shishkin Les
shitkino	Shitkino
shkotovo	Shkotovo
shkurinskaya	Shkurinskaya
shlissel’burg	Shlissel’burg
sholokhovskiy	Sholokhovskiy
shonguy	Shonguy
shovgenovskiy	Shovgenovskiy
shtykovo	Shtykovo
shubenka	Shubenka
shudayag	Shudayag
shugurovo	Shugurovo
shul’gin log	Shul’gin Log
shumerlya	Shumerlya
shumeyka	Shumeyka
shumikha	Shumikha
shumikhinskiy	Shumikhinskiy
shumskiy	Shumskiy
shumyachi	Shumyachi
shun’ga	Shun’ga
shushary	Shushary
shushenskoye	Shushenskoye
shuvakish	Shuvakish
shuvalovo	Shuvalovo
shuya	Shuya
shuyskoye	Shuyskoye
shvartsevskiy	Shvartsevskiy
sibay	Sibay
sibirskiy	Sibirskiy
sibirtsevo	Sibirtsevo
sigayevo	Sigayevo
silikatnyy	Silikatnyy
sim	Sim
sindor	Sindor
sinegor'ye	Sinegor'ye
sinegorsk	Sinegorsk
sinegorskiy	Sinegorskiy
singapay	Singapay
sinodskoye	Sinodskoye
sinyavino	Sinyavino
sinyavskoye	Sinyavskoye
sirius	Sirius
sista-palkino	Sista-Palkino
sitniki	Sitniki
siukh	Siukh
siva	Siva
sivaki	Sivaki
sivakovka	Sivakovka
siverskiy	Siverskiy
sizyy bugor	Sizyy Bugor
skhodnya	Skhodnya
skolkovo	Skolkovo
skopin	Skopin
skorodnoye	Skorodnoye
skoropuskovskiy	Skoropuskovskiy
skovorodino	Skovorodino
skuratovskiy	Skuratovskiy
sladkovo	Sladkovo
slantsy	Slantsy
slashchevskaya	Slashchevskaya
slavgorod	Slavgorod
slavgorodskoye	Slavgorodskoye
slavniy	Slavniy
slavsk	Slavsk
slavyanka	Slavyanka
slavyansk-na-kubani	Slavyansk-na-Kubani
sloboda	Sloboda
slobodka	Slobodka
slobodskoy	Slobodskoy
slyudyanka	Slyudyanka
smidovich	Smidovich
smirnykh	Smirnykh
smolenka	Smolenka
smolenshchina	Smolenshchina
smolensk	Smolensk
smolenskaya	Smolenskaya
smolenskoye	Smolenskoye
smolino	Smolino
smolyaninovo	Smolyaninovo
smyshlyayevka	Smyshlyayevka
snegiri	Snegiri
snezhinsk	Snezhinsk
snezhnogorsk	Snezhnogorsk
sobinka	Sobinka
sobolevo	Sobolevo
sochi	Sochi
sofrino	Sofrino
sokol	Sokol
sokolovo	Sokolovo
sokolovo-kundryuchenskiy	Sokolovo-Kundryuchenskiy
sokolovskoye	Sokolovskoye
sokolovyy	Sokolovyy
sokol’niki	Sokol’niki
sokol’skoye	Sokol’skoye
sokur	Sokur
soldato-aleksandrovskoye	Soldato-Aleksandrovskoye
soldatskaya	Soldatskaya
solginskiy	Solginskiy
soligalich	Soligalich
solikamsk	Solikamsk
solnechniy	Solnechniy
solnechnodol’sk	Solnechnodol’sk
solnechnogorsk	Solnechnogorsk
solnechnoye	Solnechnoye
solnechnyy	Solnechnyy
solntsevo	Solntsevo
solomenskoye	Solomenskoye
soloneshnoye	Soloneshnoye
solotcha	Solotcha
solovjevsk	Solovjevsk
solton	Solton
soluno-dmitriyevskoye	Soluno-Dmitriyevskoye
solyanka	Solyanka
sol’-iletsk	Sol’-Iletsk
sol’tsy	Sol’tsy
sol’vychegodsk	Sol’vychegodsk
somovo	Somovo
sonkovo	Sonkovo
sorochinsk	Sorochinsk
sorokino	Sorokino
sorsk	Sorsk
sortavala	Sortavala
sosenskiy	Sosenskiy
soskovo	Soskovo
sosnogorsk	Sosnogorsk
sosnovaya polyana	Sosnovaya Polyana
sosnovka	Sosnovka
sosnovo	Sosnovo
sosnovo-ozerskoye	Sosnovo-Ozërskoye
sosnovoborsk	Sosnovoborsk
sosnovskoye	Sosnovskoye
sosnovyy bor	Sosnovyy Bor
sos’va	Sos’va
sotnikovo	Sotnikovo
sotnikovskoye	Sotnikovskoye
souzga	Souzga
sovetsk	Sovetsk
sovetskaya	Sovetskaya
sovetskaya gavan’	Sovetskaya Gavan’
sovetskiy	Sovetskiy
sovetskoye	Sovetskoye
sovkhoznyy	Sovkhoznyy
sozimskiy	Sozimskiy
spas-demensk	Spas-Demensk
spas-klepiki	Spas-Klepiki
spas-zaulok	Spas-Zaulok
spassk	Spassk
spassk-dal’niy	Spassk-Dal’niy
spassk-ryazanskiy	Spassk-Ryazanskiy
spasskoye	Spasskoye
spasskoye-lutovinovo	Spasskoye-Lutovinovo
spiridonovka	Spiridonovka
spirovo	Spirovo
spitsevka	Spitsevka
spokoynaya	Spokoynaya
srednebelaya	Srednebelaya
srednekolymsk	Srednekolymsk
sredneuralsk	Sredneuralsk
sredniy	Sredniy
sredniy ikorets	Sredniy Ikorets
srednyaya akhtuba	Srednyaya Akhtuba
srednyaya yelyuzan’	Srednyaya Yelyuzan’
sretensk	Sretensk
srostki	Srostki
stan-bekhtemir	Stan-Bekhtemir
stanovoye	Stanovoye
stantsia staritsa	Stantsia Staritsa
stantsionno-oyashinskiy	Stantsionno-Oyashinskiy
staraya	Staraya
staraya akkermanovka	Staraya Akkermanovka
staraya derevnya	Staraya Derevnya
staraya kulatka	Staraya Kulatka
staraya kupavna	Staraya Kupavna
staraya ladoga	Staraya Ladoga
staraya mayna	Staraya Mayna
staraya poltavka	Staraya Poltavka
staraya russa	Staraya Russa
staraya stanitsa	Staraya Stanitsa
staraya sunzha	Staraya Sunzha
staraya toropa	Staraya Toropa
staraya vichuga	Staraya Vichuga
staritsa	Staritsa
staroaleyskoye	Staroaleyskoye
starobachaty	Starobachaty
starobaltachevo	Starobaltachevo
starobelokurikha	Starobelokurikha
starocherkasskaya	Starocherkasskaya
staroderevyankovskaya	Staroderevyankovskaya
starodub	Starodub
starodubskoye	Starodubskoye
starodzhereliyevskaya	Starodzhereliyevskaya
starokamyshinsk	Starokamyshinsk
starokorsunskaya	Starokorsunskaya
starokucherganovka	Starokucherganovka
staroleushkovskaya	Staroleushkovskaya
starominskaya	Starominskaya
staromyshastovskaya	Staromyshastovskaya
staronizhestebliyevskaya	Staronizhestebliyevskaya
staropavlovskaya	Staropavlovskaya
staropesterevo	Staropesterevo
staropyshminsk	Staropyshminsk
staroshcherbinovskaya	Staroshcherbinovskaya
starosubkhangulovo	Starosubkhangulovo
starotimoshkino	Starotimoshkino
starotitarovskaya	Starotitarovskaya
staroutkinsk	Staroutkinsk
starovelichkovskaya	Starovelichkovskaya
staroye arakchino	Staroye Arakchino
staroye drozhzhanoye	Staroye Drozhzhanoye
staroye shaygovo	Staroye Shaygovo
staroyur’yevo	Staroyur’yevo
starozhilovo	Starozhilovo
staryy cherek	Staryy Cherek
staryy malgobek	Staryy Malgobek
staryy nadym	Staryy Nadym
staryy oskol	Staryy Oskol
staryy togul	Staryy Togul
staryy urukh	Staryy Urukh
staryye atagi	Staryye Atagi
staryye ozinki	Staryye Ozinki
star’	Star’
stavropol	Stavropol
stavrovo	Stavrovo
stepantsevo	Stepantsevo
stepnoye	Stepnoye
stepnoye ozero	Stepnoye Ozero
sterlibashevo	Sterlibashevo
sterlitamak	Sterlitamak
stodolishche	Stodolishche
stolbishchi	Stolbishchi
stolbovaya	Stolbovaya
storozhevaya	Storozhevaya
strel'na	Strel'na
strelitsa	Strelitsa
strelka	Strelka
strezhevoy	Strezhevoy
strizhi	Strizhi
strogino	Strogino
stroitel	Stroitel
stromyn’	Stromyn’
strugi-krasnyye	Strugi-Krasnyye
strunino	Strunino
stukovo	Stukovo
stulovo	Stulovo
stupino	Stupino
subkhankulovo	Subkhankulovo
suda	Suda
sudislavl’	Sudislavl’
sudogda	Sudogda
sudoverf’	Sudoverf’
sudzha	Sudzha
sug-aksy	Sug-Aksy
sukhaya buyvola	Sukhaya Buyvola
sukhinichi	Sukhinichi
sukhobezvodnoye	Sukhobezvodnoye
sukhobuzimskoye	Sukhobuzimskoye
sukhodol	Sukhodol
sukhoy log	Sukhoy Log
sukko	Sukko
sukkozero	Sukkozero
sukpak	Sukpak
suksun	Suksun
sulak	Sulak
sumkino	Sumkino
suna	Suna
suntar	Suntar
sunzha	Sunzha
suoyarvi	Suoyarvi
suponevo	Suponevo
supsekh	Supsekh
sura	Sura
surazh	Surazh
surgut	Surgut
surkhakhi	Surkhakhi
surok	Surok
surovatikha	Surovatikha
surovikino	Surovikino
sursk	Sursk
surskoye	Surskoye
susanino	Susanino
suslonger	Suslonger
suslovo	Suslovo
susuman	Susuman
suvorov	Suvorov
suvorovskaya	Suvorovskaya
suzdal’	Suzdal’
suzemka	Suzëmka
suzun	Suzun
svatkovo	Svatkovo
svecha	Svecha
sven’	Sven’
sverdlovskiy	Sverdlovskiy
svetlanovskiy	Svetlanovskiy
svetlaya	Svetlaya
svetlogorsk	Svetlogorsk
svetlograd	Svetlograd
svetlopolyansk	Svetlopolyansk
svetlyy	Svetlyy
svetlyy yar	Svetlyy Yar
svetogorsk	Svetogorsk
sviblovo	Sviblovo
svirsk	Svirsk
sviyazhsk	Sviyazhsk
svobodnyy	Svobodnyy
svobody	Svobody
syamzha	Syamzha
syas’stroy	Syas’stroy
syava	Syava
sychevka	Sychëvka
sychevo	Sychëvo
syktyvkar	Syktyvkar
sylva	Sylva
syntul	Syntul
synya	Synya
syrostan	Syrostan
syrskoye	Syrskoye
syrtych	Syrtych
sysert’	Sysert’
syumsi	Syumsi
syzran	Syzran
tabaga	Tabaga
tabory	Tabory
tabuny	Tabuny
taganrog	Taganrog
taganskiy	Taganskiy
tagirkent-kazmalyar	Tagirkent-Kazmalyar
takhtamukay	Takhtamukay
takhtamygda	Takhtamygda
taksimo	Taksimo
talakan	Talakan
talashkino	Talashkino
taldan	Taldan
taldom	Taldom
talinka	Talinka
talitsa	Talitsa
talitsy	Talitsy
talnakh	Talnakh
talovaya	Talovaya
talovyy	Talovyy
tal’menka	Tal’menka
tamala	Tamala
taman	Taman
tambov	Tambov
tambovka	Tambovka
tanais	Tanais
tankhoy	Tankhoy
tanzybey	Tanzybey
tara	Tara
tarasovka	Tarasovka
tarasovskiy	Tarasovskiy
tarbagatay	Tarbagatay
taremskoye	Taremskoye
tarkhovka	Tarkhovka
tarki	Tarki
tarko-sale	Tarko-Sale
tarnogskiy gorodok	Tarnogskiy Gorodok
tarskoye	Tarskoye
tarumovka	Tarumovka
tarusa	Tarusa
taseyevo	Taseyevo
tashanta	Tashanta
tashara	Tashara
tashla	Tashla
tashtagol	Tashtagol
tashtyp	Tashtyp
tatarka	Tatarka
tatarsk	Tatarsk
tatarskaya kargala	Tatarskaya Kargala
tatarskaya pishlya	Tatarskaya Pishlya
tataurovo	Tataurovo
tatishchevo	Tatishchevo
tatsinskaya	Tatsinskaya
tavda	Tavda
tavrichanka	Tavrichanka
tavricheskoye	Tavricheskoye
tayga	Tayga
tayginka	Tayginka
tayshet	Tayshet
taytsy	Taytsy
tayturka	Tayturka
tayzhina	Tayzhina
tazovsky	Tazovsky
tbilisskaya	Tbilisskaya
teeli	Teeli
tegul’det	Tegul’det
tekstil’shchiki	Tekstil’shchiki
tel’ma	Tel’ma
temiraul	Temiraul
temirgoyevskaya	Temirgoyevskaya
temirtau	Temirtau
temizhbekskaya	Temizhbekskaya
temkino	Tëmkino
temnikov	Temnikov
temryuk	Temryuk
temyasovo	Temyasovo
ten’gushevo	Ten’gushevo
teplaya gora	Tëplaya Gora
teploye	Tëploye
terbuny	Terbuny
terek	Terek
terekli-mekteb	Terekli-Mekteb
teren’ga	Teren’ga
tereze	Tereze
teriberka	Teribërka
ternevskaya	Ternevskaya
terney	Terney
ternovka	Ternovka
tersa	Tersa
terskaya	Terskaya
terskol	Terskol
teryayevo	Teryayevo
tetkino	Tëtkino
tetyushi	Tetyushi
tevriz	Tevriz
teya	Teya
teykovo	Teykovo
tigil’	Tigil’
tikhoretsk	Tikhoretsk
tikhvin	Tikhvin
tiksi	Tiksi
tilichiki	Tilichiki
tim	Tim
timashyovsk	Timashyovsk
timiryazevskiy	Timiryazevskiy
timiryazevskoye	Timiryazevskoye
tinskoy	Tinskoy
tirlyanskiy	Tirlyanskiy
tishchenskoye	Tishchenskoye
tisul’	Tisul’
tlokh	Tlokh
tlyarata	Tlyarata
tlyustenkhabl’	Tlyustenkhabl’
tobolsk	Tobolsk
toguchin	Toguchin
togul	Togul
togur	Togur
tokaryovka	Tokaryovka
toksovo	Toksovo
tokur	Tokur
tolbazy	Tolbazy
tolmachevo	Tolmachevo
tolmachevo	Tolmachëvo
tolstopal’tsevo	Tolstopal’tsevo
tolstoy-yurt	Tolstoy-Yurt
tolyatti	Tolyatti
tomari	Tomari
tomarovka	Tomarovka
tomilino	Tomilino
tommot	Tommot
tomsino	Tomsino
tomsk	Tomsk
tonkino	Tonkino
tonshalovo	Tonshalovo
tonshayevo	Tonshayevo
toora-khem	Toora-Khem
topchikha	Topchikha
topki	Topki
topolevo	Topolevo
topol’noye	Topol’noye
torbeyevo	Torbeyevo
torfyanoy	Torfyanoy
toropets	Toropets
torzhok	Torzhok
tosno	Tosno
totskoye	Totskoye
tot’ma	Tot’ma
tovarkovo	Tovarkovo
tovarkovskiy	Tovarkovskiy
tpig	Tpig
trekhgornyy	Trëkhgornyy
tretiy severnyy	Tretiy Severnyy
troitsk	Troitsk
troitskaya	Troitskaya
troitskiy	Troitskiy
troitsko-pechorsk	Troitsko-Pechorsk
troitskoye	Troitskoye
troparevo	Troparëvo
trosna	Trosna
troyel’ga	Troyel’ga
trubchevsk	Trubchevsk
trudarmeyskiy	Trudarmeyskiy
trudfront	Trudfront
trudobelikovskiy	Trudobelikovskiy
trudovoye	Trudovoye
trunovskoye	Trunovskoye
tsagan aman	Tsagan Aman
tsaritsyno	Tsaritsyno
tselina	Tselina
tselinnoye	Tselinnoye
tsementnozavodskiy	Tsementnozavodskiy
tsementnyy	Tsementnyy
tsentoroy	Tsentoroy
tsentral’nyy	Tsentral’nyy
tsibanobalka	Tsibanobalka
tsil’na	Tsil’na
tsimlyansk	Tsimlyansk
tsiolkovskiy	Tsiolkovskiy
tsivil’sk	Tsivil’sk
tsotsin-yurt	Tsotsin-Yurt
tsunta	Tsunta
tsurib	Tsurib
tuapse	Tuapse
tubinskiy	Tubinskiy
tuchkovo	Tuchkovo
tugolesskiy bor	Tugolesskiy Bor
tugulym	Tugulym
tuim	Tuim
tukan	Tukan
tula	Tula
tulun	Tulun
tulyushka	Tulyushka
tul’skiy	Tul’skiy
tuma	Tuma
tumak	Tumak
tumbotino	Tumbotino
tungor	Tungor
tunoshna	Tunoshna
tupik	Tupik
tura	Tura
turan	Turan
turgenevo	Turgenevo
turgoyak	Turgoyak
turinsk	Turinsk
turinskaya sloboda	Turinskaya Sloboda
turka	Turka
turki	Turki
turochak	Turochak
turtas	Turtas
turukhansk	Turukhansk
turuntayevo	Turuntayevo
tutayev	Tutayev
tuymazy	Tuymazy
tuzha	Tuzha
tver	Tver
tyarlevo	Tyarlevo
tyazhinskiy	Tyazhinskiy
tygda	Tygda
tymovskoye	Tymovskoye
tynda	Tynda
tyoply stan	Tyoply Stan
tyret’ pervaya	Tyret’ Pervaya
tyrma	Tyrma
tyrnyauz	Tyrnyauz
tyube	Tyube
tyubuk	Tyubuk
tyukalinsk	Tyukalinsk
tyukhtet	Tyukhtet
tyulyachi	Tyulyachi
tyul’gan	Tyul’gan
tyumen	Tyumen
tyumentsevo	Tyumentsevo
ubinskoye	Ubinskoye
uchaly	Uchaly
uchkeken	Uchkeken
uchkent	Uchkent
uchkulan	Uchkulan
udachny	Udachny
udarnyy	Udarnyy
udel’naya	Udel’naya
udimskiy	Udimskiy
udobnaya	Udobnaya
udomlya	Udomlya
ufa	Ufa
ufimskiy	Ufimskiy
uglegorsk	Uglegorsk
uglegorskiy	Uglegorskiy
uglekamensk	Uglekamensk
uglerodovskiy	Uglerodovskiy
ugleural’skiy	Ugleural’skiy
uglezavodsk	Uglezavodsk
uglich	Uglich
uglovka	Uglovka
uglovoye	Uglovoye
uglovskoye	Uglovskoye
uglyanets	Uglyanets
ugra	Ugra
uinskoye	Uinskoye
uk	Uk
ukholovo	Ukholovo
ukhta	Ukhta
ulagan	Ulagan
ulakhan-an	Ulakhan-An
ulan-ude	Ulan-Ude
ulety	Ulety
ulluaya	Ulluaya
ullubiyaul	Ullubiyaul
ult-ugun	Ult-Ugun
ulu-telyak	Ulu-Telyak
ulukulevo	Ulukulevo
ulyanovsk	Ulyanovsk
ulyap	Ulyap
ul’yanovka	Ul’yanovka
umanskiy	Umanskiy
umba	Umba
umet	Umet
umet	Umët
undory	Undory
unecha	Unecha
uni	Uni
untolovo	Untolovo
untsukul’	Untsukul’
upornaya	Upornaya
uporovo	Uporovo
uptar	Uptar
ural	Ural
uralets	Uralets
ural’skiy	Ural’skiy
uray	Uray
urazovka	Urazovka
urazovo	Urazovo
urdoma	Urdoma
urengoy	Urengoy
uren’	Uren’
urik	Urik
uritsk	Uritsk
urkarakh	Urkarakh
urma	Urma
urman	Urman
urmary	Urmary
urozhaynoye	Urozhaynoye
urshel’skiy	Urshel’skiy
ursk	Ursk
urukh	Urukh
urus-martan	Urus-Martan
urusha	Urusha
urussu	Urussu
urvan’	Urvan’
uryupinsk	Uryupinsk
uryv-pokrovka	Uryv-Pokrovka
urzhum	Urzhum
ushumun	Ushumun
usinsk	Usinsk
usisha	Usisha
usman’	Usman’
usogorsk	Usogorsk
usol’ye	Usol’ye
usol’ye-sibirskoye	Usol’ye-Sibirskoye
usovo-tupik	Usovo-Tupik
uspenka	Uspenka
uspenskaya	Uspenskaya
uspenskoye	Uspenskoye
ussuriysk	Ussuriysk
ust-kuyga	Ust-Kuyga
ust-maya	Ust-Maya
ust-nera	Ust-Nera
ust-tsilma	Ust-Tsilma
ustyuzhna	Ustyuzhna
ust’-abakan	Ust’-Abakan
ust’-bagaryak	Ust’-Bagaryak
ust’-barguzin	Ust’-Barguzin
ust’-bol’sheretsk	Ust’-Bol’sheretsk
ust’-charyshskaya pristan’	Ust’-Charyshskaya Pristan’
ust’-donetskiy	Ust’-Donetskiy
ust’-dzheguta	Ust’-Dzheguta
ust’-ilimsk	Ust’-Ilimsk
ust’-isha	Ust’-Isha
ust’-ishim	Ust’-Ishim
ust’-izhora	Ust’-Izhora
ust’-kachka	Ust’-Kachka
ust’-kalmanka	Ust’-Kalmanka
ust’-kamchatsk	Ust’-Kamchatsk
ust’-kamchatsk staryy	Ust’-Kamchatsk Staryy
ust’-kan	Ust’-Kan
ust’-karsk	Ust’-Karsk
ust’-katav	Ust’-Katav
ust’-kinel’skiy	Ust’-Kinel’skiy
ust’-kishert’	Ust’-Kishert’
ust’-koksa	Ust’-Koksa
ust’-kulom	Ust’-Kulom
ust’-kut	Ust’-Kut
ust’-labinsk	Ust’-Labinsk
ust’-luga	Ust’-Luga
ust’-omchug	Ust’-Omchug
ust’-ordynskiy	Ust’-Ordynskiy
ust’-shonosha	Ust’-Shonosha
ust’-tarka	Ust’-Tarka
ust’-uda	Ust’-Uda
ust’yanka	Ust’yanka
ust’ye	Ust’ye
usukhchay	Usukhchay
usvyaty	Usvyaty
usyatskoye	Usyatskoye
utamysh	Utamysh
utevka	Utevka
utorgosh	Utorgosh
utsmiyurt	Utsmiyurt
uva	Uva
uvarovka	Uvarovka
uvarovo	Uvarovo
uvary	Uvary
uvat	Uvat
uvel’skiy	Uvel’skiy
uyar	Uyar
uyemskiy	Uyemskiy
