4 arm (kharwali)	4 Arm (Kharwali)
kulattuppalaiyam	Kulattuppālaiyam
kulattur	Kulattūr
kulgam	Kulgam
kulittalai	Kulittalai
kullada	Kullāda
kullattur	Kullattūr
kullursandai	Kullursandai
kulpahar	Kulpahār
kulti	Kulti
kulu	Kulu
kumar kaibarta gaon	Kumar Kaibarta Gaon
kumaragiri	Kumaragiri
kumaralingam	Kumaralingam
kumaranellur	Kumaranellūr
kumarapalaiyam	Kumārapālaiyam
kumarapalayam	Kumarapalayam
kumarapuram	Kumārapuram
kumardubhi	Kumardubhi
kumarghat	Kumarghat
kumarmunda	Kumārmunda
kumarpur	Kumārpur
kumbakonam	Kumbakonam
kumbalam	Kumbalam
kumbalangy	Kumbalangy
kumbalgod	Kumbalgod
kumbhkot	Kumbhkot
kumbhraj	Kumbhrāj
kumbi	Kumbi
kumhari	Kumhāri
kumher	Kūmher
kumsi	Kumsi
kumta	Kumta
kunda	Kunda
kundam	Kundam
kundapura	Kundapura
kundarkhi	Kundarkhi
kundgol	Kundgol
kundla	Kundla
kundli	Kundli
kunigal	Kunigal
kuniyamuttur	Kuniyamuttūr
kunjanpalaiyam	Kunjānpālaiyam
kunjatturu	Kunjatturu
kunkuri	Kunkuri
kunnamangalam	Kunnamangalam
kunnamkulam	Kunnamkulam
kunnatnad	Kunnatnād
kunnattur	Kunnattūr
kunnimangalam	Kunnimangalam
kunnumma	Kunnumma
kunnummal	Kunnummal
kunzar	Kunzar
kuppam	Kuppam
kupwara	Kupwāra
kurali	Kūrāli
kurandvad	Kurandvād
kurara	Kurāra
kurattissery	Kurattissery
kurduvadi	Kurduvādi
kureekkad	Kureekkad
kurgahalli	Kurgahalli
kurgunta	Kurgunta
kurhatitra	Kurhātitra
kurichchi	Kurichchi
kurichikara	Kurichikara
kurikuppi	Kurikuppi
kurinjippadi	Kurinjippādi
kurkhera	Kurkhera
kurmur	Kurmūr
kurnool	Kurnool
kurpania	Kurpania
kurseong	Kurseong
kurthaur	Kurthaur
kurud	Kurud
kurukkuppatti	Kurukkuppatti
kurul	Kurul
kurumathur	Kurumathur
kurumbalur	Kurumbalūr
kurumbapet	Kurumbapet
kurumpilavu	Kurumpilavu
kuruppanayakkanpalaiyam	Kuruppanāyakkanpālaiyam
kuruvattur	Kuruvattūr
kurwa	Kurwa
kurwai	Kurwai
kusavampatti	Kusavampatti
kushalgarh	Kushālgarh
kushalnagar	Kushālnagar
kushinagar	Kushinagar
kushtagi	Kushtagi
kusmi	Kusmi
kusum pur	Kusum Pur
kuthalam	Kuthalam
kutiatodu	Kutiatodu
kutiyana	Kutiyāna
kuttalam	Kuttālam
kuttali	Kūttāli
kuttampuzha	Kuttampuzha
kuttankuli	Kūttankuli
kuttikkattur	Kuttikkāttūr
kuttippuram	Kuttippuram
kuttuparamba	Kuttuparamba
kuttur	Kuttūr
kuttyattur	Kuttyattur
kuvettu	Kuvettu
kuwarbav	Kuwarbav
kuzhithurai	Kuzhithurai
kwakta	Kwakta
kyathampalle	Kyathampalle
kyelang	Kyelang
l.a.sagaram	L.A.Sagaram
labbaikkudikkadu	Labbaikkudikkādu
lad	Lād
ladhaura	Ladhaura
ladnun	Lādnūn
ladpur	Lādpur
ladrawan	Ladrāwan
ladwa	Lādwa
lahar	Lahār
laharijan natun bosti	Laharijan Natun Bosti
laharpur	Lāharpur
lahauran bara	Lāhauran Bara
laitumkhrah	Laitumkhrah
lakema	Lakema
lakhanpur	Lakhanpur
lakheri	Lākheri
lakhi nepali	Lakhi Nepali
lakhimpur	Lakhīmpur
lakhipur	Lakhipur
lakhna	Lakhnā
lakhnadon	Lakhnādon
lakhtar	Lakhtar
lakhyabad	Lakhyabad
lakkampatti	Lakkampatti
lakkanahalli	Lakkanahalli
laksar	Laksar
lakshettipet	Lakshettipet
lakshmeshwar	Lakshmeshwar
lakshminarayanapuram	Lakshmīnārāyanapuram
lal bahadur nagar	Lal Bahadur Nagar
lala	Lāla
lalam	Lālam
lalganj	Lālganj
lalganj	Lalganj
lalgola	Lālgola
lalgudi	Lalgudi
lalitpur	Lalitpur
lalpania	Lālpania
lalpettai	Lālpettai
lalpur	Lālpur
lalru	Lālru
lalsingi	Lalsingi
lalsot	Lālsot
lamshang	Lamshang
lanja	Lānja
lanji	Lānjī
lanka	Lanka
lansdowne	Lansdowne
lapanga	Lāpangā
lar	Lar
laruara	Laruāra
lasalgaon	Lāsalgaon
lassodyameri	Lassodyāmeri
lasur	Lāsūr
latehar	Lātehār
lateri	Lateri
lathi	Lāthi
lathikata	Lathikata
latur	Latur
lau	Lāu
laungowal	Laungowāl
lauri	Lauri
lavachha	Lavachha
lawa sardargarh	Lāwa Sardārgarh
lawan	Lawan
lawar khas	Lāwar Khās
lawngtlai	Lawngtlai
laxmangarh	Laxmangarh
laxmidevipally	Laxmidevipally
lebachhara	Lebachhara
lebur bit ? i	Lebur Bit ? I
leh	Leh
lehragaga	Lehragaga
lelanga	Lelanga
lemmi	Lemmi
lengpui	Lengpui
leteri	Leteri
libaspur	Libāspur
lido tikok	Lido Tikok
lido town	Lido Town
lilia	Lilia
limbdi	Limbdi
limbodi	Limbodi
limkheda	Līmkheda
limla	Limla
limodra	Limodra
lingiadih	Lingiādīh
lingsugur	Lingsugūr
lit	Lit
lochapada	Lochapada
lodhikheda	Lodhīkheda
loha	Loha
lohaghat	Lohaghāt
lohara	Lohāra
loharda	Loharda
lohardaga	Lohārdagā
loharu	Lohāru
lohian	Lohiān
lohogaon	Lohogaon
loisinga	Loisinga
lonand	Lonand
lonar	Lonar
lonavla	Lonavla
londa	Londa
longding	Longding
longleng	Longleng
longowal	Longowal
loni	Loni
loniya	Loniya
lormi	Lormi
losal	Losal
luckeesarai	Luckeesarai
lucknow	Lucknow
ludhiana	Ludhiana
lumding railway colony	Lumding Railway Colony
lunavada	Lūnāvāda
lunglei	Lunglei
luwangsangbam	Luwangsangbam
maan	Maan
machai	Māchai
machalpur	Māchalpur
macherla	Mācherla
machhiwara	Māchhīwāra
machhlishahr	Machhlīshahr
machilipatnam	Machilīpatnam
mad	Mād
madambakkam	Madambakkam
madanapalle	Madanapalle
madanayakahalli	Madanayakahalli
madanpur	Madanpur
madarpakkam	Mādarpākkam
madattukkulam	Madattukkulam
madattumpadi	Madattumpadi
madayi	Mādāyi
madayikonam	Madayikonam
maddur	Maddūr
madgaon	Madgaon
madhapar	Madhapar
madhavaram	Madhavaram
madhavkampa	Madhavkampa
madhepura	Madhepura
madhira	Madhira
madhoganj	Mādhoganj
madhogarh	Mādhogarh
madhogarh	Madhogarh
madhuban	Madhuban
madhubani	Madhubani
madhugiri	Madhugiri
madhupur	Madhupur
madhurampur dehri	Madhurampur Dehri
madhuru	Madhūru
madhyamgram	Madhyamgram
madikeri	Madikeri
madipakkam	Madipakkam
madkai	Madkai
madugula	Mādugula
madukkarai	Madukkarai
madukkur	Madukkūr
madurai	Madurai
maduraivayal	Maduraivayal
madurantakam	Madurāntakam
maduravoyal	Maduravoyal
magadi	Māgadi
magam	Māgām
magarlor	Magarlor
maghar	Maghar
mahabaleshwar	Mahābaleshwar
mahabaleshwar	Mahabaleshwar
mahabalipuram	Mahabalipuram
mahaban	Mahāban
mahad	Mahād
mahadula	Mahādula
mahagama	Mahāgama
mahalingpur	Mahālingpur
mahalpur	Mahalpur
maham	Maham
mahapoli	Mahapoli
maharaganj	Mahārāganj
maharajgani	Mahārājgani
maharajganj	Mahārājganj
maharajpur	Mahārājpur
mahasamund	Mahāsamund
mahbubabad	Mahbūbābād
mahbubnagar	Mahbūbnagar
mahe	Mahē
mahemdavad	Mahemdāvād
mahendragarh	Mahendragarh
mahendranagar	Mahendranagar
mahesana	Mahesāna
maheshari	Maheshari
maheshlundi	Maheshlundi
maheshtala	Maheshtala
maheshwar	Maheshwar
mahgawan	Mahgawān
mahiari	Mahiari
mahindale	Mahindāle
mahishadal	Mahīshādal
mahlidih	Mahlidih
mahmudabad	Mahmudābād
mahna	Mahna
mahnar bazar	Mahnar Bazar
mahoba	Mahobā
maholi	Maholi
mahragaon	Mahrāgaon
mahroni	Mahroni
mahu khurd	Mahu Khurd
mahuda	Mahuda
mahudha	Mahudha
mahur	Mahur
mahura	Mahura
mahuva	Mahuva
mahuver	Mahuver
mahwa	Mahwa
maibong	Maibong
maidan garhi	Maidan Garhi
maihar	Maihar
mailani	Mailāni
mailaram	Mailāram
mainaguri	Maināguri
maindargi	Maindargi
mainpuri	Mainpuri
mairabari town	Mairabari Town
mairang	Mairang
mairwa	Mairwa
maithon	Maithon
majalgaon	Majalgaon
majaragollappatti	Majarāgollappatti
majarkuri	Majarkuri
majgaon	Majgaon
majhauli	Majhauli
majhauli khetal	Majhauli Khetal
majhgawan	Majhgawān
majhiaon kalan	Majhiāon Kalān
majhiari	Majhiāri
majhihara	Majhihara
majholi	Majholi
majirgaon	Majirgaon
majitha	Majītha
majra	Mājra
makhdumpur	Makhdumpur
makhjan	Mākhjan
makhu	Makhu
makkinayakkinpatti	Mākkināyakkinpatti
makrana	Makrāna
makron	Makron
makronia	Makronia
maksi	Maksi
maktampur	Maktampur
makum	Mākum
makundapur	Makundapur
malaimachchampatti	Malaimāchchampatti
malajkhand	Malajkhand
malakanagiri	Malakanagiri
malakpur	Malakpur
malakpur kohi rangpur	Malakpur Kohi Rangpur
malanka	Malanka
malanpur	Mālanpur
malappuram	Malappuram
malaudh	Malaudh
malavalli	Malavalli
malayadi	Malayadi
malayinkeezhu	Malayinkeezhu
malda	Malda
maldhe	Māldhe
malegaon	Malegaon
maler kotla	Māler Kotla
malhar	Malhār
malhargarh	Malhārgarh
malhipur	Mālhīpur
malicherla	Malicherla
malihabad	Malīhābād
maliya	Māliya
malkajgiri	Malkajgiri
malkapur	Malkāpur
malkapur	Malkapur
malkera	Malkera
mallankinar	Mallānkinar
mallapuram	Mallāpuram
mallar	Mallār
mallasamudram	Mallasamudram
mallur	Māllūr
malout	Malout
malpe	Malpe
malpur	Mālpur
malpura	Mālpura
malsian	Malsiān
malsisar	Malsīsar
malur	Mālūr
malvan	Mālvan
mamidalapadu	Māmidālapādu
mamit	Mamit
mamnur	Mamnūr
mamsapuram	Mamsapuram
mamun	Mamun
mana-camp	Mana-Camp
manakkody	Manakkody
manakkudi mukkuvartura	Manakkudi Mukkuvartura
manakunnam	Manakunnam
manali	Manāli
manali	Manali
manalur	Manalur
manalurpettai	Manalūrpettai
manamadurai	Manamadurai
manamodu	Manamodu
manantheri	Mānantheri
manapakkam	Manapakkam
manappakkam	Manappakkam
manapparai	Manapparai
manasa	Manāsa
manavadar	Mānāvadar
manavalakurichi	Manavālakurichi
manavalassery	Manavalassery
manaveli	Manaveli
manawar	Manāwar
mancad	Mancad
manchar	Manchar
mancherial	Mancherial
manda	Mānda
mandai	Mandai
mandakad	Mandākād
mandal	Māndal
mandalgarh	Māndalgarh
mandamarri	Mandamarri
mandapam	Mandapam
mandapeta	Mandapeta
mandasa	Mandasa
mandawa	Mandāwa
mandawar	Mandāwar
mandholi kalan	Mandholi Kalān
mandi	Mandi
mandi dabwali	Mandi Dabwāli
mandideep	Mandideep
mandir hasaud	Mandir Hasaud
mandla	Mandlā
mandleshwar	Māndleshwar
mandoli	Mandoli
mandrem	Mandrem
mandsaur	Mandsaur
mandu	Māndu
mandvi	Māndvi
mandya	Mandya
manegaon	Mānegaon
manendragarh	Manendragarh
maner	Maner
manesar	Mānesar
manethi	Manethi
mangalagiri	Mangalagiri
mangalam	Mangalam
mangalapadi	Mangalapādi
mangaldai	Mangaldai
mangaluru	Mangaluru
mangalvedha	Mangalvedha
mangampeta	Mangampeta
mangan	Mangan
mangasamudram	Mangasamudram
mangattidam	Mangattidam
mangawan	Mangawān
manglaur	Manglaur
manglya	Mānglya
mango	Mango
mangrol	Māngrol
mangrul pir	Mangrūl Pīr
mangvadi	Māngvādi
mani majra	Mani Mājra
maniar	Maniar
manihari	Manihāri
manikkapuram	Mānikkāpuram
manikpur	Mānikpur
manimutharu	Manimutharu
manipal	Manipal
manipura	Manipura
maniyur	Maniyur
maniyur	Māniyūr
manjakollai	Manjakollai
manjalumoodu	Manjalumoodu
manjanadi	Manjanādi
manjathala	Manjathala
manjeri	Manjeri
manjeshvar	Manjēshvar
manjhanpur	Manjhanpur
mankachar	Mankāchar
mankapur	Mankāpur
mankuwa	Mānkuwa
manmad	Manmād
mannachanallur	Mannachanallur
mannanchori	Mannanchōri
mannarai	Mannarai
mannarakkat	Mannārakkāt
mannargudi	Mannargudi
manohar thana	Manohar Thāna
manoharpur	Manoharpur
manor	Manor
manpur	Mānpur
mansa	Mānsa
mansar	Mansar
mansur chak	Mansur Chak
manthani	Manthani
manu	Manu
manu bans grunt	Manu Bans Grunt
manuguru	Manuguru
manvi	Mānvi
manwal	Manwāl
manwath	Manwath
maoli	Maoli
mappilaiurani	Mappilaiurani
mapusa	Mapusa
mar?s?	Mar?S?
maradu	Maradu
maragondahalli	Maragondahalli
marahra	Mārahra
marai kalan	Marāi Kalān
maraimalainagar	Maraimalainagar
marakkanam	Marakkanam
maralia	Marālīa
marampilly	Marampilly
marancheri	Māranchēri
marandahalli	Mārāndahalli
marar	Marār
marattakara	Marattakara
marayur	Marayur
margherita	Margherita
marhaura	Marhaura
marhi	Marhi
mariahu	Mariāhu
mariani	Mariāni
mariyat	Māriyāt
markapur	Mārkāpur
markkayankottai	Mārkkayankottai
marma	Marma
maro	Māro
maroa	Maroa
marpara north	Marpara North
marthandam	Marthandam
marturu	Martūru
marudur	Marudūr
marungur	Marungūr
marutharod	Marutharōd
marwad	Marwad
marwar junction	Marwar Junction
masaurhi buzurg	Masaurhi Buzurg
mashat	Mashāt
masila	Masila
masinayakkanpatti	Māsināyakkanpatti
masinigudi	Masinigudi
masratu	Masrātu
matabhanga	Mātābhānga
matarbari	Matarbari
mataundh	Mataundh
mathadahatti	Mathadahatti
matheran	Mātherān
mathur	Mathur
mathura	Mathura
mathurapur	Mathurāpur
matigara	Matigara
mattan	Mattan
mattanur	Mattanur
mattigiri	Mattigiri
mattur	Māttūr
mau	Mau
mau aimma	Mau Aimma
mauda	Mauda
maudaha	Maudaha
mauganj	Mauganj
mauli jagran	Mauli Jagran
maur	Maur
mauranwan	Maurānwān
mav patoda	Mav Patoda
maval	Maval
mavelikara	Māvelikara
mavitayi	Mavitāyi
mavoor	Mavoor
mawana	Mawāna
mawlai-mawiong	Mawlai-Mawïong
mawpat	Mawpat
may	May
mayabandar	Māyābandar
mayakonda	Māyakonda
mayang imphal	Mayāng Imphāl
mayapur	Māyāpur
mayar	Māyar
mayiladi	Mayilādi
mayiladuthurai	Mayiladuthurai
mayyanad	Mayyanād
mayyil	Mayyīl
mechcheri	Mechcheri
medak	Medak
medankarwadi	Medankarwadi
medchal	Medchal
meddappakkam	Meddappakkam
medha	Medha
medininagar	Medininagar
medinipur	Medinīpur
medpalli	Medpalli
medziphema	Medziphema
meenambakkam	Meenambakkam
meerpet	Meerpet
meerut	Meerut
meethari marwar	Meethari Marwar
meghahatuburu	Meghahatuburu
meghnagar	Meghnagar
meghraj	Meghraj
mehatpur basdehra	Mehatpur Basdehra
mehidpur	Mehidpur
mehkar	Mehkar
mehmand	Mehmand
mehmood pora	Mehmood Pora
mehnagar	Mehnagar
mehndawal	Mehndāwal
mehsi	Mehsi
mel pattambakkam	Mel Pattāmbākkam
mel seval	Mel Seval
melmadai	Melmadai
melpedu	Melpedu
melukote	Melukote
melur	Melur
memari	Memāri
men	Men
mendarda	Mendarda
mennanyam	Mennānyam
meppadam	Mēppādam
meppayyur	Meppāyyūr
mera	Mera
mercurim	Mercurim
merta	Merta
merta road	Merta Road
meru	Meru
met	Met
methukummal	Methukummal
metpalle	Metpalle
mettamalai	Mettamalai
mettupalayam	Mettupalayam
mettuppalaiyam	Mettuppālaiyam
mettur	Mettur
mevalurkuppam	Mevalūrkuppam
mharal bk	Mharal Bk
mhasal	Mhāsāl
mhasla	Mhasla
mhaswad	Mhaswad
mhow	Mhow
miao	Miāo
midalam	Midalam
mihona	Mihona
milak	Milak
milattur	Milattūr
milavittan	Milavittan
minad	Mīnād
minakshinayakkanpatti	Mīnākshināyakkanpatti
minakshipuram	Mīnākshipuram
minalur	Minalur
minicoy	Minicoy
minjur	Mīnjūr
minnampalli	Minnampalli
mir pur turk	Mir Pur Turk
miranpur	Mīrānpur
miranpur katra	Mīrānpur Katra
mirganj	Mīrganj
mirganj	Mirganj
mirik	Mirik
mirjhapar	Mirjhapar
mirpur	Mīrpur
miryalaguda	Miryalaguda
mirzapur	Mirzāpur
misrikh	Misrikh
mithapur	Mithapur
mithepur	Mīthepur
mitraon	Mitrāon
modakkurichchi	Modakkurichchi
modameedipalle	Modameedipalle
modasa	Modāsa
modinagar	Modīnagar
moga	Moga
mogral	Mogrāl
mohali	Mohali
mohan	Mohān
mohana	Mohana
mohanpur	Mohanpur
mohanur	Mohanūr
mohgaon	Mohgaon
mohiuddinnagar	Mohiuddinnagar
mohmaiki	Mohmaiki
mohpa	Mohpa
mohpada	Mohpada
moira	Moira
moirang	Moirāng
mokameh	Mokameh
mokeri	Mokēri
mokokchung	Mokokchūng
molakalumuru	Molakālumuru
molarband	Molārband
molasur	Molasūr
mon	Mon
monoharpur	Monoharpur
moonak	Moonak
moonniyur	Moonniyur
moothakunnam	Moothakunnam
mop	Mop
moparipalaiyam	Moparipālaiyam
mora	Mora
moradabad	Morādābād
moragudi	Moragudi
morak	Morak
moram	Moram
morampudi	Morampudi
moran town	Moran Town
moranha	Morānha
morar	Morār
morattuppalaiyam	Morattuppālaiyam
moreh	Moreh
morena	Morena
morewadi	Morewadi
morigaon	Morigaon
morinda	Morinda
morjim	Morjim
mormugao	Mormugao
morongial	Morongial
morsi	Morsi
morvi	Morvi
morwa	Morwa
mosli pt i	Mosli Pt I
mota natava	Mota Natava
moth	Moth
mothihari	Mothīhāri
motipur	Motipur
mowad	Mowād
mubarakpur	Mubarakpur
mubarakpur dobas	Mubārakpur Dobās
mubarakpur net	Mubārakpur Net
mubarikpur	Mubārikpur
mudabettu	Mūdabettu
mudalgi	Mudalgi
mudashedde	Mūdashedde
mudbidri	Mūdbidri
muddanuru	Muddanūru
muddebihal	Muddebihāl
mudgal	Mudgal
mudgere	Mudgere
mudhol	Mudhol
mudkhed	Mudkhed
mudki	Mudki
mudukulathur	Mudukulathur
muduperar	Muduperar
mugalivakkam	Mugalivakkam
mugma	Mugma
muhamma	Muhamma
muhammadabad	Muhammadābād
muhdal	Muhdal
mukandgarh	Mukandgarh
mukandpur	Mukandpur
mukasi pidariyur	Mukāsi Pidāriyūr
mukerian	Mukeriān
mukher	Mukher
mukhiguda	Mukhiguda
mukkudal	Mukkūdal
mukmelpur	Mukmelpur
mukondapalli	Mūkondapalli
muktsar	Muktsar
mul	Mūl
mulaguntapadu	Mūlaguntapādu
mulaikkaraippatti	Mūlaikkaraippatti
mulakuddu	Mulakuddu
mulakumud	Mulakumūd
mulamthuruthy	Mulamthuruthy
mulanpur	Mulānpur
mulanur	Mūlanūr
mulavukad	Mulavukad
mulbagal	Mulbāgal
mulgund	Mulgund
mulki	Mūlki
mullanpur	Mūllānpur
mullanwala	Mullānwāla
mullassheri	Mullasshēri
mullippattu	Mullippattu
multai	Multai
mulugu	Mulugu
muluppilagadu	Muluppilagadu
mulur	Mulur
mumbai	Mumbai
mundali	Mundāli
mundamarai	Mundamarai
mundargi	Mundargi
mundathikod	Mundathikōd
munderi	Munderi
mundgod	Mundgod
mundi	Mundi
mundka	Mūndka
mundra	Mundra
mundwa	Mūndwa
mungaoli	Mungaoli
mungeli	Mungeli
munger	Munger
munirabad	Munirābād
munnar	Munnar
munnuru	Munnūru
muradabad pahari	Murādābād Pahāri
muradnagar	Murādnagar
muragacha	Muragācha
muraidih	Muraidih
murakambattu	Murakambattu
murbad	Murbād
murda	Murda
murgud	Murgūd
murhari	Murhāri
muri	Muri
muringur vadakummuri	Muringur Vadakummuri
murliganj	Murlīganj
murmari	Murmāri
mursan	Mursān
murshidabad	Murshidābād
murtajapur	Murtajāpur
murud	Murud
murudeshwara	Murudeshwara
murugampalaiyam	Murugampālaiyam
murwara	Murwāra
musafir-khana	Musāfir-Khāna
mushabani	Mushābani
mushalpur	Mushalpur
musiri	Musiri
mussoorie	Mussoorie
mustafabad	Mustafābād
mutge	Mutge
muthukulam	Muthukulam
muthupet	Muthupet
muthutala	Muthutala
muttanampalaiyam	Muttanampālaiyam
muttargi	Muttargi
muttayyapuram	Muttayyāpuram
muttukavundanpudur	Muttukavundanpudūr
muttur	Muttūr
muvattupula	Mūvattupula
muvattupuzha	Muvattupuzha
muzaffarnagar	Muzaffarnagar
muzaffarpur	Muzaffarpur
muzhucode	Muzhucode
mysuru	Mysuru
nabha	Nābha
nabinagar	Nabīnagar
nachane	Nachane
nachiyar koil	Nachiyar Koil
nadaikavu	Nadaikavu
nadapuram	Nādāpuram
nadaun	Nādaun
nadbai	Nādbai
nadgaon tarf birwadi	Nadgaon Tarf Birwadi
nadiad	Nadiād
nadigaon	Nadīgaon
nadim tiruvuru	Nadim Tiruvuru
nadisal	Nadisāl
nadrala	Nadrālā
naduvannur	Naduvannūr
naduvattam	Naduvattam
nag	Nāg
nagalapuram	Nagalapuram
nagalwari	Nāgalwāri
nagam	Nagam
nagamangala	Nāgamangala
nagamangalam	Nāgamangalam
nagaon	Nagaon
nagapattinam	Nagapattinam
nagapur	Nagapur
nagar	Nagar
nagar karnul	Nāgar Karnūl
nagari	Nagari
nagaur	Nāgaur
nagavaram	Nāgāvaram
nagda	Nagda
nagercoil	Nāgercoil
nagina	Nagīna
naginimora	Naginimora
nagireddipalli	Nāgireddipalli
nagod	Nāgod
nagojanahalli	Nāgojanahalli
nagothana	Nāgothana
nagpur	Nagpur
nagram	Nagrām
nagri	Nagri
nagri kalan	Nagri Kalan
nagrota	Nagrota
nagrota bagwan	Nagrota Bagwān
nahan	Nāhan
naharlagun	Naharlagun
nahira	Nahira
nahorkatiya	Nahorkatiya
nai-ledri	Nai-Ledri
naigaon dattapur	Naigaon Dattapur
naigarhi	Naīgarhi
naihati	Naihāti
naila	Nailā
naina devi	Naina Devi
naini tal	Naini Tāl
nainpur	Nainpur
nainwa	Nainwa
najafgarh	Najafgarh
najibabad	Najībābād
nakhula grant	Nakhula Grant
nakkapalle	Nakkāpalle
nakodar	Nakodar
nakrekal	Nakrekal
naksalbari	Naksalbāri
nakur	Nakūr
nal khera	Nal Khera
nalagarh	Nālāgarh
nalambur	Nalambūr
nalbari	Nalbāri
nalco	Nalco
naldurg	Naldurg
nalgonda	Nalgonda
nalhati	Nalhāti
naliya	Naliya
nallakavundanpalaiyam	Nallakavundanpālaiyam
nallampatti	Nallampatti
nallavila	Nallavila
nallippalaiyam	Nallippālaiyam
nalloor	Nalloor
nallur	Nallūr
nalvadi	Nālvādi
namagiripettai	Nāmagiripettai
namakkal	Nāmakkal
nambiyur	Nambiyūr
nambol	Nambol
nambutalai	Nambutalai
namchi	Namchi
namli	Namli
namminikara	Namminikara
namrup	Nāmrup
namsai	Namsai
nanakwada	Nanakwada
nanauta	Nanauta
nanda	Nānda
nandambakkam	Nandambakkam
nanded	Nanded
nandej	Nandej
nandelav	Nandelav
nandesari ina	Nandesari INA
nandgad	Nandgad
nandgaon	Nandgaon
nandgaon	Nāndgaon
nandigama	Nandigāma
nandikotkur	Nandikotkūr
nandkharki	Nandkharki
nandri	Nandri
nandura	Nāndūra
nandurbar	Nandurbar
nandyal	Nandyāl
nangal	Nangal
nangal chaudhri	Nāngal Chaudhri
nangavalli	Nangavalli
nangavaram	Nangavaram
nangilickondan	Nangilickondan
nangli	Nangli
nangli sakrawat	Nangli Sakrawat
nangloi jat	Nāngloi Jāt
nanguneri	Nanguneri
nanhera	Nanhera
nani daman	Nani Daman
nanjangud	Nanjangūd
nanjikkottai	Nānjikkottai
nanminda	Nanminda
nannambra	Nannambra
nannilam	Nannilam
nanpara	Nānpāra
nanpur	Nānpur
naoghar	Naoghar
napasar	Napāsar
naraina	Naraina
naraingarh	Naraingarh
naraini	Naraini
narainpur	Nārāinpur
narakal	Narakal
naranammalpuram	Nāranammālpuram
naranapuram	Naranapuram
narasannapeta	Narasannapeta
narasapur	Narasapur
narasaraopet	Narasaraopet
narasimhanaickenpalayam	Narasimhanaickenpalayam
narasimharajapura	Narasimharājapura
narasingam	Narasingam
narasingapuram	Narasingāpuram
narasingapuram	Narasingapuram
narath	Narath
narauli	Narauli
naraura	Naraura
naravarikuppam	Nāravārikuppam
narayanapuram	Nārāyanapuram
narayanavanam	Nārāyanavanam
narayangarh	Nārāyangarh
narayankher	Nārāyankher
narayanpet	Nārāyanpet
naregal	Naregal
narela	Narela
narendranagar	Narendranagar
nargund	Nargund
narharpur	Narharpur
nari	Nari
narikombu	Narikombu
narkatiaganj	Narkatiāganj
narkher	Narkher
narmadapuram	Narmadapuram
narnaul	Narnaul
narnaund	Nārnaund
naroda	Naroda
naroli	Naroli
narot mehra	Narot Mehra
narra	Narra
narsala	Nārsala
narsampet	Narsampet
narsapuram	Narsāpuram
narsimhapur	Narsimhapur
narsingarh	Narsingarh
narsinghgarh	Narsinghgarh
narsingi	Nārsingi
narsipatnam	Narsīpatnam
narwana	Narwāna
narwar	Narwar
naryanpur	Naryanpur
nashik	Nashik
nasirabad	Nasīrābād
nasiyanur	Nasiyanūr
naspur	Nāspur
nasriganj	Nāsriganj
nasrullahganj	Nasrullāhganj
nasvadi	Nasvadi
natathara	Natathara
nateputa	Nāteputa
natham	Natham
nathampannai	Nathampannai
nathdwara	Nāthdwāra
nattakam	Nattakam
nattalam	Nattalam
nattappettai	Nattappettai
nattarampalli	Nāttarampalli
nattarasankottai	Nāttarasankottai
naubaisa goan	Naubaisa Goan
naubasta	Naubasta
naubatpur	Naubatpur
naugachhia	Naugachhia
naurhiya	Naurhiya
naushahra	Nāushahra
nautan	Nautan
nautanwa	Nautanwa
nava bhildi	Nava Bhildi
navadwip	Navadwīp
navalgund	Navalgund
navalpattu	Navalpattu
navalur	Nāvalūr
navapur	Navāpur
navelim	Navelim
navi mumbai	Navi Mumbai
navkawada	Navkawada
navoor	Navoor
navsari	Navsari
nawa	Nāwa
nawabganj	Nawābganj
nawada	Nawāda
nawagarh	Nawagarh
nawalgarh	Nawalgarh
nawanshahr	Nawanshahr
nawanshahr	Nawānshahr
nawapara	Nawāpāra
naya baradwar	Naya Baradwar
naya bazar	Naya Bāzār
naya gaon	Naya Gaon
nayabazar	Nayabazar
nayagarh	Nayāgarh
nayanakulam	Nāyanakulam
nayudupet	Nāyudupet
nazarathpettai	Nazarathpettai
nazareth	Nazareth
nazira	Nāzirā
neb sarai	Neb Sarai
nedumangad	Nedumangād
nedumbassery	Nedumbassery
nedumpana	Nedumpana
nedumpura	Nedumpura
neduva	Neduva
needamangalam	Needamangalam
neelagiri	Neelagiri
neelankarai	Neelankarai
neem ka thana	Neem ka Thana
neemrana	Neemrana
neemuch	Neemuch
nelamangala	Nelamangala
nellikkuppam	Nellikkuppam
nellimarla	Nellimarla
nellore	Nellore
nelluvayi	Nelluvāyi
nemili	Nemili
nepanagar	Nepānagar
ner	Ner
neral	Neral
nerinjippettai	Nerinjippettai
nerkunram	Nerkunram
nerul	Nerul
nerupperichchal	Nerupperichchal
net	Net
neturhat	Neturhāt
new bongaigaon railway colony	New Bongaigaon Railway Colony
new delhi	New Delhi
newa talai	Newa Talai
neykkarappatti	Neykkārappatti
neykuppai	Neykuppai
neyveli	Neyveli
neyyattinkara	Neyyāttinkara
neyyur	Neyyūr
ngur	Ngūr
nichlaul	Nichlaul
nidadavole	Nidadavole
nidanpur pt-ii	Nidanpur Pt-II
nihalpur simba	Nihālpur Simba
nihtaur	Nihtaur
